@relation InstanceResultListener

@attribute Key_Dataset {ABC,ABD,ACD,AD,BCD}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR}
@attribute Key_Scheme_options {''}
@attribute Key_Scheme_version_ID {48055541465867954}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

ABC,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,425,144,91,53,0,63.194444,36.805556,0,0,0.466937,0.482322,100,100,136.699767,136.699767,0,0.949304,0.949304,0,0,0,0,1,91,1,53,0,0,0,0,0.631944,1,0.774468,?,0.5,0.631944,0.631944,0.631944,0.368056,0.368056,?,0.631944,?,?,0.5,0.534819,?,0.631944,0.001,0.002,0,0,0,0,884,120465,42634,100,100,?
ABC,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,425,144,91,53,0,63.194444,36.805556,0,0,0.466937,0.482322,100,100,136.699767,136.699767,0,0.949304,0.949304,0,0,0,0,1,91,1,53,0,0,0,0,0.631944,1,0.774468,?,0.5,0.631944,0.631944,0.631944,0.368056,0.368056,?,0.631944,?,?,0.5,0.534819,?,0.631944,0,0.001,0,0,0,0,884,120465,42634,100,100,?
ABC,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,425,144,91,53,0,63.194444,36.805556,0,0,0.466937,0.482322,100,100,136.699767,136.699767,0,0.949304,0.949304,0,0,0,0,1,91,1,53,0,0,0,0,0.631944,1,0.774468,?,0.5,0.631944,0.631944,0.631944,0.368056,0.368056,?,0.631944,?,?,0.5,0.534819,?,0.631944,0.001,0,0,0,0,0,884,120465,42634,100,100,?
ABC,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,425,144,91,53,0,63.194444,36.805556,0,0,0.466937,0.482322,100,100,136.699767,136.699767,0,0.949304,0.949304,0,0,0,0,1,91,1,53,0,0,0,0,0.631944,1,0.774468,?,0.5,0.631944,0.631944,0.631944,0.368056,0.368056,?,0.631944,?,?,0.5,0.534819,?,0.631944,0,0,0,0,0,0,884,120465,42634,100,100,?
ABC,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,425,144,91,53,0,63.194444,36.805556,0,0,0.466937,0.482322,100,100,136.699767,136.699767,0,0.949304,0.949304,0,0,0,0,1,91,1,53,0,0,0,0,0.631944,1,0.774468,?,0.5,0.631944,0.631944,0.631944,0.368056,0.368056,?,0.631944,?,?,0.5,0.534819,?,0.631944,0,0,0,0,0,0,884,120465,42634,100,100,?
ABC,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,425,144,91,53,0,63.194444,36.805556,0,0,0.466937,0.482322,100,100,136.699767,136.699767,0,0.949304,0.949304,0,0,0,0,1,91,1,53,0,0,0,0,0.631944,1,0.774468,?,0.5,0.631944,0.631944,0.631944,0.368056,0.368056,?,0.631944,?,?,0.5,0.534819,?,0.631944,0.001,0,0,0,0,0,884,120465,42634,100,100,?
ABC,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,425,144,91,53,0,63.194444,36.805556,0,0,0.466937,0.482322,100,100,136.699767,136.699767,0,0.949304,0.949304,0,0,0,0,1,91,1,53,0,0,0,0,0.631944,1,0.774468,?,0.5,0.631944,0.631944,0.631944,0.368056,0.368056,?,0.631944,?,?,0.5,0.534819,?,0.631944,0,0,0,0,0,0,884,120465,42634,100,100,?
ABC,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,425,144,91,53,0,63.194444,36.805556,0,0,0.466937,0.482322,100,100,136.699767,136.699767,0,0.949304,0.949304,0,0,0,0,1,91,1,53,0,0,0,0,0.631944,1,0.774468,?,0.5,0.631944,0.631944,0.631944,0.368056,0.368056,?,0.631944,?,?,0.5,0.534819,?,0.631944,0,0,0,0,0,0,884,120465,42634,100,100,?
ABC,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,425,144,91,53,0,63.194444,36.805556,0,0,0.466937,0.482322,100,100,136.699767,136.699767,0,0.949304,0.949304,0,0,0,0,1,91,1,53,0,0,0,0,0.631944,1,0.774468,?,0.5,0.631944,0.631944,0.631944,0.368056,0.368056,?,0.631944,?,?,0.5,0.534819,?,0.631944,0.001,0,0,0,0,0,884,120465,42634,100,100,?
