@relation InstanceResultListener

@attribute Key_Dataset {ABC,ABD,ACD,AD,BCD}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

ABC,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,425,144,130,14,0,90.277778,9.722222,0,0.792635,0.099109,0.311083,21.225314,64.496799,136.699767,122.773035,13.926732,0.949304,0.852591,0.096713,106.997534,0.743038,11213.112049,0.912088,83,0.113208,6,0.886792,47,0.087912,8,0.932584,0.912088,0.922222,0.792983,0.89944,0.906154,0.902778,0.103897,0.896103,0.097222,0.903862,0.902778,0.903138,0.792983,0.89944,0.866889,0.896296,0.902778,0,0.01,0,0.01,0,10,123006,120465,42634,90.277778,50,?
ABC,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,425,144,130,14,0,90.277778,9.722222,0,0.792635,0.099109,0.311083,21.225314,64.496799,136.699767,122.773035,13.926732,0.949304,0.852591,0.096713,106.997534,0.743038,11213.112049,0.912088,83,0.113208,6,0.886792,47,0.087912,8,0.932584,0.912088,0.922222,0.792983,0.89944,0.906154,0.902778,0.103897,0.896103,0.097222,0.903862,0.902778,0.903138,0.792983,0.89944,0.866889,0.896296,0.902778,0.001,0.008,0,0.01,0,10,123006,120465,42634,90.277778,50,?
ABC,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,425,144,130,14,0,90.277778,9.722222,0,0.792635,0.099109,0.311083,21.225314,64.496799,136.699767,122.773035,13.926732,0.949304,0.852591,0.096713,106.997534,0.743038,11213.112049,0.912088,83,0.113208,6,0.886792,47,0.087912,8,0.932584,0.912088,0.922222,0.792983,0.89944,0.906154,0.902778,0.103897,0.896103,0.097222,0.903862,0.902778,0.903138,0.792983,0.89944,0.866889,0.896296,0.902778,0.001,0.008,0,0.01,0,10,123006,120465,42634,90.277778,50,?
ABC,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,425,144,130,14,0,90.277778,9.722222,0,0.792635,0.099109,0.311083,21.225314,64.496799,136.699767,122.773035,13.926732,0.949304,0.852591,0.096713,106.997534,0.743038,11213.112049,0.912088,83,0.113208,6,0.886792,47,0.087912,8,0.932584,0.912088,0.922222,0.792983,0.89944,0.906154,0.902778,0.103897,0.896103,0.097222,0.903862,0.902778,0.903138,0.792983,0.89944,0.866889,0.896296,0.902778,0,0.009,0,0.01,0,10,123006,120465,42634,90.277778,50,?
ABC,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,425,144,130,14,0,90.277778,9.722222,0,0.792635,0.099109,0.311083,21.225314,64.496799,136.699767,122.773035,13.926732,0.949304,0.852591,0.096713,106.997534,0.743038,11213.112049,0.912088,83,0.113208,6,0.886792,47,0.087912,8,0.932584,0.912088,0.922222,0.792983,0.89944,0.906154,0.902778,0.103897,0.896103,0.097222,0.903862,0.902778,0.903138,0.792983,0.89944,0.866889,0.896296,0.902778,0.001,0.008,0,0.01,0,10,123006,120465,42634,90.277778,50,?
ABC,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,425,144,130,14,0,90.277778,9.722222,0,0.792635,0.099109,0.311083,21.225314,64.496799,136.699767,122.773035,13.926732,0.949304,0.852591,0.096713,106.997534,0.743038,11213.112049,0.912088,83,0.113208,6,0.886792,47,0.087912,8,0.932584,0.912088,0.922222,0.792983,0.89944,0.906154,0.902778,0.103897,0.896103,0.097222,0.903862,0.902778,0.903138,0.792983,0.89944,0.866889,0.896296,0.902778,0,0.009,0,0.01,0,10,123006,120465,42634,90.277778,50,?
ABC,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,425,144,130,14,0,90.277778,9.722222,0,0.792635,0.099109,0.311083,21.225314,64.496799,136.699767,122.773035,13.926732,0.949304,0.852591,0.096713,106.997534,0.743038,11213.112049,0.912088,83,0.113208,6,0.886792,47,0.087912,8,0.932584,0.912088,0.922222,0.792983,0.89944,0.906154,0.902778,0.103897,0.896103,0.097222,0.903862,0.902778,0.903138,0.792983,0.89944,0.866889,0.896296,0.902778,0,0.009,0,0.01,0,10,123006,120465,42634,90.277778,50,?
ABC,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,425,144,130,14,0,90.277778,9.722222,0,0.792635,0.099109,0.311083,21.225314,64.496799,136.699767,122.773035,13.926732,0.949304,0.852591,0.096713,106.997534,0.743038,11213.112049,0.912088,83,0.113208,6,0.886792,47,0.087912,8,0.932584,0.912088,0.922222,0.792983,0.89944,0.906154,0.902778,0.103897,0.896103,0.097222,0.903862,0.902778,0.903138,0.792983,0.89944,0.866889,0.896296,0.902778,0,0.013,0,0.01,0,10,123006,120465,42634,90.277778,50,?
ABC,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,425,144,130,14,0,90.277778,9.722222,0,0.792635,0.099109,0.311083,21.225314,64.496799,136.699767,122.773035,13.926732,0.949304,0.852591,0.096713,106.997534,0.743038,11213.112049,0.912088,83,0.113208,6,0.886792,47,0.087912,8,0.932584,0.912088,0.922222,0.792983,0.89944,0.906154,0.902778,0.103897,0.896103,0.097222,0.903862,0.902778,0.903138,0.792983,0.89944,0.866889,0.896296,0.902778,0,0.01,0,0.02,0,20,123006,120465,42634,90.277778,50,?
