@relation InstanceResultListener

@attribute Key_Dataset {ABC,ABD,ACD,AD,BCD}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 9\nSize of the tree: 17\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

ABC,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,425,425,421,4,0,99.058824,0.941176,0,0.979852,0.017577,0.093747,3.752143,19.373504,405.357525,25.998624,379.358902,0.953782,0.061173,0.892609,391.832167,0.921958,41063.170758,0.996241,265,0.018868,3,0.981132,156,0.003759,1,0.988806,0.996241,0.992509,0.979901,0.993261,0.992061,0.990588,0.013216,0.986784,0.009412,0.990611,0.990588,0.990576,0.979901,0.993261,0.991812,0.989926,0.990588,0.005,0,0,0,0,0,7706,120465,120465,99.294118,50.588235,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABC,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,425,425,421,4,0,99.058824,0.941176,0,0.979852,0.017577,0.093747,3.752143,19.373504,405.357525,25.998624,379.358902,0.953782,0.061173,0.892609,391.832167,0.921958,41063.170758,0.996241,265,0.018868,3,0.981132,156,0.003759,1,0.988806,0.996241,0.992509,0.979901,0.993261,0.992061,0.990588,0.013216,0.986784,0.009412,0.990611,0.990588,0.990576,0.979901,0.993261,0.991812,0.989926,0.990588,0.005,0,0.01,0,10,0,7706,120465,120465,99.294118,50.588235,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABC,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,425,425,421,4,0,99.058824,0.941176,0,0.979852,0.017577,0.093747,3.752143,19.373504,405.357525,25.998624,379.358902,0.953782,0.061173,0.892609,391.832167,0.921958,41063.170758,0.996241,265,0.018868,3,0.981132,156,0.003759,1,0.988806,0.996241,0.992509,0.979901,0.993261,0.992061,0.990588,0.013216,0.986784,0.009412,0.990611,0.990588,0.990576,0.979901,0.993261,0.991812,0.989926,0.990588,0.005,0.001,0,0,0,0,7706,120465,120465,99.294118,50.588235,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABC,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,425,425,421,4,0,99.058824,0.941176,0,0.979852,0.017577,0.093747,3.752143,19.373504,405.357525,25.998624,379.358902,0.953782,0.061173,0.892609,391.832167,0.921958,41063.170758,0.996241,265,0.018868,3,0.981132,156,0.003759,1,0.988806,0.996241,0.992509,0.979901,0.993261,0.992061,0.990588,0.013216,0.986784,0.009412,0.990611,0.990588,0.990576,0.979901,0.993261,0.991812,0.989926,0.990588,0.005,0,0.01,0,10,0,7706,120465,120465,99.294118,50.588235,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABC,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,425,425,421,4,0,99.058824,0.941176,0,0.979852,0.017577,0.093747,3.752143,19.373504,405.357525,25.998624,379.358902,0.953782,0.061173,0.892609,391.832167,0.921958,41063.170758,0.996241,265,0.018868,3,0.981132,156,0.003759,1,0.988806,0.996241,0.992509,0.979901,0.993261,0.992061,0.990588,0.013216,0.986784,0.009412,0.990611,0.990588,0.990576,0.979901,0.993261,0.991812,0.989926,0.990588,0.005,0,0.01,0,10,0,7706,120465,120465,99.294118,50.588235,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABC,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,425,425,421,4,0,99.058824,0.941176,0,0.979852,0.017577,0.093747,3.752143,19.373504,405.357525,25.998624,379.358902,0.953782,0.061173,0.892609,391.832167,0.921958,41063.170758,0.996241,265,0.018868,3,0.981132,156,0.003759,1,0.988806,0.996241,0.992509,0.979901,0.993261,0.992061,0.990588,0.013216,0.986784,0.009412,0.990611,0.990588,0.990576,0.979901,0.993261,0.991812,0.989926,0.990588,0.004,0.001,0,0,0,0,7706,120465,120465,99.294118,50.588235,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABC,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,425,425,421,4,0,99.058824,0.941176,0,0.979852,0.017577,0.093747,3.752143,19.373504,405.357525,25.998624,379.358902,0.953782,0.061173,0.892609,391.832167,0.921958,41063.170758,0.996241,265,0.018868,3,0.981132,156,0.003759,1,0.988806,0.996241,0.992509,0.979901,0.993261,0.992061,0.990588,0.013216,0.986784,0.009412,0.990611,0.990588,0.990576,0.979901,0.993261,0.991812,0.989926,0.990588,0.004,0.001,0.01,0,10,0,7706,120465,120465,99.294118,50.588235,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABC,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,425,425,421,4,0,99.058824,0.941176,0,0.979852,0.017577,0.093747,3.752143,19.373504,405.357525,25.998624,379.358902,0.953782,0.061173,0.892609,391.832167,0.921958,41063.170758,0.996241,265,0.018868,3,0.981132,156,0.003759,1,0.988806,0.996241,0.992509,0.979901,0.993261,0.992061,0.990588,0.013216,0.986784,0.009412,0.990611,0.990588,0.990576,0.979901,0.993261,0.991812,0.989926,0.990588,0.005,0,0.01,0,10,0,7706,120465,120465,99.294118,50.588235,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABC,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,425,425,421,4,0,99.058824,0.941176,0,0.979852,0.017577,0.093747,3.752143,19.373504,405.357525,25.998624,379.358902,0.953782,0.061173,0.892609,391.832167,0.921958,41063.170758,0.996241,265,0.018868,3,0.981132,156,0.003759,1,0.988806,0.996241,0.992509,0.979901,0.993261,0.992061,0.990588,0.013216,0.986784,0.009412,0.990611,0.990588,0.990576,0.979901,0.993261,0.991812,0.989926,0.990588,0.005,0,0,0,0,0,7706,120465,120465,99.294118,50.588235,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
